n,m,parseTime,SATime,SearchTime,Description
2000,1000,25,50675,112,sameChar
3000,1000,32,113992,123,sameChar
3000,2000,52,116340,225,sameChar
4000,1000,38,202989,120,sameChar
4000,2000,42,207147,242,sameChar
4000,3000,37,202650,1815,sameChar
5000,1000,390,314062,141,sameChar
5000,2000,209,323913,250,sameChar
5000,3000,215,314853,387,sameChar
5000,4000,199,322853,477,sameChar
6000,1000,217,452966,153,sameChar
6000,2000,205,451619,263,sameChar
6000,3000,223,465105,374,sameChar
6000,4000,216,465451,498,sameChar
6000,5000,209,453449,598,sameChar
7000,1000,229,634594,148,sameChar
7000,2000,213,637893,260,sameChar
7000,3000,218,635224,380,sameChar
7000,4000,225,612776,493,sameChar
7000,5000,255,616124,607,sameChar
7000,6000,224,633726,729,sameChar
8000,1000,219,801863,139,sameChar
8000,2000,225,804460,258,sameChar
8000,3000,227,829466,395,sameChar
8000,4000,221,803352,505,sameChar
8000,5000,223,800562,633,sameChar
8000,6000,206,830023,729,sameChar
8000,7000,219,805223,837,sameChar
9000,1000,229,1016047,145,sameChar
9000,2000,233,1048623,266,sameChar
9000,3000,238,1017133,386,sameChar
9000,4000,169,1015299,506,sameChar
9000,5000,242,1016132,625,sameChar
9000,6000,234,1052565,754,sameChar
9000,7000,243,1050518,855,sameChar
9000,8000,239,1016036,978,sameChar
10000,1000,260,1294188,144,sameChar
10000,2000,250,1253853,271,sameChar
10000,3000,239,1255986,410,sameChar
10000,4000,249,1290157,513,sameChar
10000,5000,251,1296963,645,sameChar
10000,6000,225,1277080,759,sameChar
10000,7000,243,1260237,874,sameChar
10000,8000,257,1275416,1007,sameChar
10000,9000,235,1254088,1099,sameChar
